url issues,url_api comment,url_html comment,user create comment,body,created_at,updated_at
https://api.github.com/repos/hyperledger/hyperledgerwp/issues/57,https://api.github.com/repos/hyperledger/hyperledgerwp/issues/comments/378462417,https://github.com/hyperledger/hyperledgerwp/pull/57#issuecomment-378462417,travinkeith,"Tried to see if I could re-do this as I thought it was a problem with email verification, but unfortunately it's not it. ",2018-04-04 02:43:00,2018-04-04 02:43:00
https://api.github.com/repos/hyperledger/hyperledgerwp/issues/56,https://api.github.com/repos/hyperledger/hyperledgerwp/issues/comments/378461431,https://github.com/hyperledger/hyperledgerwp/pull/56#issuecomment-378461431,travinkeith,"Strange, I checked the other pull requests and the sign-off looks correct. Is there a mistake that I made? I tried doing it again with travin@travinkeith.com after trying again with travin@agavon.ch, but that failed as well.",2018-04-04 02:36:25,2018-04-04 02:48:35
https://api.github.com/repos/hyperledger/hyperledgerwp/issues/45,https://api.github.com/repos/hyperledger/hyperledgerwp/issues/comments/348307510,https://github.com/hyperledger/hyperledgerwp/pull/45#issuecomment-348307510,dcmiddle,Rebased in update for list formatting.,2017-11-30 20:13:15,2017-11-30 20:13:15
https://api.github.com/repos/hyperledger/hyperledgerwp/issues/39,https://api.github.com/repos/hyperledger/hyperledgerwp/issues/comments/347849679,https://github.com/hyperledger/hyperledgerwp/pull/39#issuecomment-347849679,travinkeith,"Signed-off-by: Travin Keith <travin@travinkeith.com>
",2017-11-29 12:44:47,2017-11-29 12:44:47
https://api.github.com/repos/hyperledger/hyperledgerwp/issues/31,https://api.github.com/repos/hyperledger/hyperledgerwp/issues/comments/344302246,https://github.com/hyperledger/hyperledgerwp/pull/31#issuecomment-344302246,stanliberman,"@hartm Can you, please, use Stanislav for my name in the authors section? I prefer to use that in public documents.",2017-11-14 15:51:11,2017-11-14 15:51:11
https://api.github.com/repos/hyperledger/hyperledgerwp/issues/28,https://api.github.com/repos/hyperledger/hyperledgerwp/issues/comments/337663188,https://github.com/hyperledger/hyperledgerwp/pull/28#issuecomment-337663188,cmickeyb,"Test pull, dropping.",2017-10-18 17:18:23,2017-10-18 17:18:23
https://api.github.com/repos/hyperledger/hyperledgerwp/issues/23,https://api.github.com/repos/hyperledger/hyperledgerwp/issues/comments/335653682,https://github.com/hyperledger/hyperledgerwp/pull/23#issuecomment-335653682,hartm,Checking DCO.,2017-10-11 01:22:08,2017-10-11 01:22:08
https://api.github.com/repos/hyperledger/hyperledgerwp/issues/18,https://api.github.com/repos/hyperledger/hyperledgerwp/issues/comments/332627772,https://github.com/hyperledger/hyperledgerwp/pull/18#issuecomment-332627772,CLAassistant,[![CLA assistant check](https://cla-assistant.io/pull/badge/signed)](https://cla-assistant.io/hyperledger/hyperledgerwp?pullRequest=18) <br/>All committers have signed the CLA.,2017-09-27 19:20:04,2017-09-27 19:20:25
https://api.github.com/repos/hyperledger/hyperledgerwp/issues/18,https://api.github.com/repos/hyperledger/hyperledgerwp/issues/comments/332709267,https://github.com/hyperledger/hyperledgerwp/pull/18#issuecomment-332709267,ryjones,CLA signed,2017-09-28 02:27:16,2017-09-28 02:27:16
https://api.github.com/repos/hyperledger/hyperledgerwp/issues/18,https://api.github.com/repos/hyperledger/hyperledgerwp/issues/comments/335661675,https://github.com/hyperledger/hyperledgerwp/pull/18#issuecomment-335661675,ryjones,parent commit is missing dco,2017-10-11 02:19:21,2017-10-11 02:19:21
https://api.github.com/repos/hyperledger/hyperledgerwp/issues/13,https://api.github.com/repos/hyperledger/hyperledgerwp/issues/comments/331285727,https://github.com/hyperledger/hyperledgerwp/pull/13#issuecomment-331285727,CLAassistant,[![CLA assistant check](https://cla-assistant.io/pull/badge/signed)](https://cla-assistant.io/hyperledger/hyperledgerwp?pullRequest=13) <br/>All committers have signed the CLA.,2017-09-21 21:21:57,2017-09-21 21:22:36
https://api.github.com/repos/hyperledger/hyperledgerwp/issues/7,https://api.github.com/repos/hyperledger/hyperledgerwp/issues/comments/326060007,https://github.com/hyperledger/hyperledgerwp/pull/7#issuecomment-326060007,CLAassistant,[![CLA assistant check](https://cla-assistant.io/pull/badge/signed)](https://cla-assistant.io/hyperledger/hyperledgerwp?pullRequest=7) <br/>All committers have signed the CLA.,2017-08-30 17:20:21,2017-08-30 17:21:09
https://api.github.com/repos/hyperledger/hyperledgerwp/issues/6,https://api.github.com/repos/hyperledger/hyperledgerwp/issues/comments/325023075,https://github.com/hyperledger/hyperledgerwp/pull/6#issuecomment-325023075,CLAassistant,"[![CLA assistant check](https://cla-assistant.io/pull/badge/not_signed)](https://cla-assistant.io/hyperledger/hyperledgerwp?pullRequest=6) <br/>Thank you for your submission, we really appreciate it. Like many open source projects, we ask that you sign our [Contributor License Agreement](https://cla-assistant.io/hyperledger/hyperledgerwp?pullRequest=6) before we can accept your contribution.<br/><sub>You have signed the CLA already but the status is still pending? Let us [recheck](https://cla-assistant.io/check/hyperledger/hyperledgerwp?pullRequest=6) it.</sub>",2017-08-25 20:08:50,2017-08-25 20:08:50
