Sender,channel,text,url_html,is issue,is comment's issue,is pull request,is comment's pull request,issue or pull another repository,is other issue or pull of another organization,url not found
typositoire,kops-users,<https://github.com/kubernetes/kubernetes/issues/32839>,https://github.com/kubernetes/kubernetes/issues/32839,False,False,False,False,True,False,False
spiffxp,kops-users,<https://github.com/kubernetes/contrib/pull/2701> should we have tide exclude `needs-rebase` PR's?,https://github.com/kubernetes/contrib/pull/2701,False,False,False,False,True,False,False
cdrage,kops-users,will need some help <@U2SBSJEHJ>  on why openshift tests are failing :( <https://github.com/kubernetes/kompose/pull/763>,https://github.com/kubernetes/kompose/pull/763,False,False,False,False,True,False,False
cdrage,kops-users,"mention bot has been working well, but could <@U10KRBVHN> or <@U3R8AEEQG> give a quick review on: <https://github.com/kubernetes/kompose/pull/731> <https://github.com/kubernetes/kompose/pull/728> and <https://github.com/kubernetes/kompose/pull/727>",https://github.com/kubernetes/kompose/pull/731,False,False,False,False,True,False,False
mkumatag,kops-users,submitted the PR - <https://github.com/kubernetes/kubernetes/pull/44910> for multi architecture k8s test docker images. PTAL..,https://github.com/kubernetes/kubernetes/pull/44910,False,False,False,False,True,False,False
fejta,kops-users,Bot vs bot <https://github.com/kubernetes/kubernetes/issues/57585>,https://github.com/kubernetes/kubernetes/issues/57585,False,False,False,False,True,False,False
puneetguptanitj,kops-users,"Hi all we are observing a strange behvaiour where rbac/v1 apis are getting available only after ~5-6 mins on api-server start up, had raised an issue <https://github.com/kubernetes/kubernetes/issues/56899> is anyone else also seeing this? It happens only when we migrate 1.7.7 to 1.8.4. After moving to 1.8.4 even if we restart API server, rbac/v1 apis are immediately available",https://github.com/kubernetes/kubernetes/issues/56899,False,False,False,False,True,False,False
aledbf,kops-users,"My only complain is the number of IP address per ec2 instance
<https://github.com/aws/amazon-vpc-cni-k8s/issues/13>",https://github.com/aws/amazon-vpc-cni-k8s/issues/13,False,False,False,False,False,True,False
chrislovecnm,kops-users,do we have any docs on how I can do a e2e run with my code changes <https://github.com/kubernetes/test-infra/pull/6113>,https://github.com/kubernetes/test-infra/pull/6113,False,False,False,False,True,False,False
portdirect,kops-users,<https://github.com/kubernetes/kubernetes/issues/35062>,https://github.com/kubernetes/kubernetes/issues/35062,False,False,False,False,True,False,False
spiffxp,kops-users,<https://github.com/kubernetes/test-infra/pull/5989> I tried to pull the hardcode out <@U0Y7A2MME> see if this makes sense,https://github.com/kubernetes/test-infra/pull/5989,False,False,False,False,True,False,False
fejta,kops-users,<https://github.com/kubernetes/test-infra/issues/5507>,https://github.com/kubernetes/test-infra/issues/5507,False,False,False,False,True,False,False
ericchiang,kops-users,<@U18NMV9D0> have you looked at <https://github.com/coreos/dex/issues/1110>,https://github.com/coreos/dex/issues/1110,False,False,False,False,False,True,False
cdrage,kops-users,since <@U0DE6E8JY> has done a lot of work testing <https://github.com/kubernetes-incubator/kompose/pull/521> can any of you three please test it and see if it works for you? <@U1N4ENMFT> <@U10KRBVHN> <@U3R8AEEQG> ,https://github.com/kubernetes-incubator/kompose/pull/521,False,False,False,False,False,True,False
surajnarwade,kops-users,"<@U0DE6E8JY> <@U2TU9NPH9> , I have talked with  <@U2S2GLMJR> regarding his `git` related PR, as he is busy with his personal stuff, I have updated his PR  and its good to go now <https://github.com/kubernetes/kompose/pull/651>",https://github.com/kubernetes/kompose/pull/651,False,False,False,False,True,False,False
cdrage,kops-users,<@U1N4ENMFT> ready for another round of reviews: <https://github.com/kubernetes/kompose/pull/759>,https://github.com/kubernetes/kompose/pull/759,False,False,False,False,True,False,False
ixdy,kops-users,<https://github.com/kubernetes/test-infra/pull/5865> seems to be where things broke,https://github.com/kubernetes/test-infra/pull/5865,False,False,False,False,True,False,False
multi_io,kops-users,"<@U26HHP8S2> I wrote a bug report, fix has already been merged :stuck_out_tongue: <https://github.com/coreos/etcd/issues/7840>",https://github.com/coreos/etcd/issues/7840,False,False,False,False,False,True,False
surajnarwade,kops-users,"<@U2TU9NPH9> <@U10KRBVHN>, <https://github.com/kubernetes/kompose/pull/714>",https://github.com/kubernetes/kompose/pull/714,False,False,False,False,True,False,False
mauilion,kops-users,<https://github.com/kubernetes/kubernetes/pull/53324>,https://github.com/kubernetes/kubernetes/pull/53324,False,False,False,False,True,False,False
surajnarwade,kops-users,<https://github.com/kubernetes/kompose/pull/837>,https://github.com/kubernetes/kompose/pull/837,False,False,False,False,True,False,False
mkumatag,kops-users,PR - <https://github.com/kubernetes/kubernetes/pull/53598>,https://github.com/kubernetes/kubernetes/pull/53598,False,False,False,False,True,False,False
mmichael,kops-users,"hi all and <@U0CBHE6GM> , i wanted to let you know that the sig-windows would like to update feature <https://github.com/kubernetes/features/issues/116> to alpha for v1.5 of k8s instead of beta. We have been plagued by a myriad of issues around automated e2e tests (with the support of sig-testing) and DNS issues coming from the Docker implementation on windows. Alpha would more closely represent reality given some of the gaps outlined above. is that ok?",https://github.com/kubernetes/features/issues/116,False,False,False,False,True,False,False
lazypower,kops-users,<https://github.com/kubernetes/kubernetes/issues/46054>,https://github.com/kubernetes/kubernetes/issues/46054,False,False,False,False,True,False,False
spiffxp,kops-users,<https://github.com/kubernetes/test-infra/pull/6063> I'm curious if tide's gonna be stuck trying to merge that PR or what,https://github.com/kubernetes/test-infra/pull/6063,False,False,False,False,True,False,False
liggitt,kops-users,(c.f. <https://github.com/kubernetes/kubernetes/issues/16543#issuecomment-157091086>),https://github.com/kubernetes/kubernetes/issues/16543#issuecomment-157091086,False,False,False,False,True,False,False
ericchiang,kops-users,Might want to take a look at <https://github.com/kubernetes/community/pull/1503>,https://github.com/kubernetes/community/pull/1503,False,False,False,False,True,False,False
chrisk,kops-users,A new rkt release with that fix should be out tomorrow: <https://github.com/rkt/rkt/pull/3815>,https://github.com/rkt/rkt/pull/3815,False,False,False,False,False,True,False
greatsun,kops-users,<@U0XDUM3FZ> <https://github.com/coreos/bugs/issues/1704>,https://github.com/coreos/bugs/issues/1704,False,False,False,False,False,True,False
cjwagner,kops-users,"<@U0XHYG6ET> Here is an issue to make some improvements to the plugin help page: <https://github.com/kubernetes/test-infra/issues/6050>

if you would prefer to write some go code here is another issue that needs someone to take it over: <https://github.com/kubernetes/test-infra/issues/3795>",https://github.com/kubernetes/test-infra/issues/6050,False,False,False,False,True,False,False
4nishantkumar,kops-users,"i got my cluster working using bastation. 
actually i got confused becz when i created cluster kops said, ssh to the master: ssh -i ~/.ssh/id_rsa admin@api.cluster.k8s.local . unfortunately this won’t work in my case(now i know) i was thinking that there is someting wrong in my config :slightly_smiling_face: also when tried to create cluster using --bastation flag it failed. due to <https://github.com/kubernetes/kops/issues/2881> . it was a mesh situation for me. thanks <@U65H6P4PM> for helping me out.",https://github.com/kubernetes/kops/issues/2881,True,False,False,False,False,False,False
surajnarwade,kops-users,"I think , this is not supported with build args, <https://github.com/kubernetes-incubator/kompose/pull/424#discussion_r116516834>",https://github.com/kubernetes-incubator/kompose/pull/424#discussion_r116516834,False,False,False,False,False,True,False
sszuecs,kops-users,<https://github.com/szuecs/kube-static-egress-controller/issues/6>,https://github.com/szuecs/kube-static-egress-controller/issues/6,False,False,False,False,False,True,False
mhausenblas,kops-users,"(it’s <https://github.com/kubernetes/kubernetes/issues/44407> I was referring to ^^^, FWIW)",https://github.com/kubernetes/kubernetes/issues/44407,False,False,False,False,True,False,False
iaguis,kops-users,"<@U26HHP8S2> regarding <https://github.com/kubernetes-incubator/rktlet/issues/127> you mentioned something about this 404 error the other day, what was that?",https://github.com/kubernetes-incubator/rktlet/issues/127,False,False,False,False,False,True,False
surajnarwade,kops-users,"<@U10KRBVHN> needs your final review, <https://github.com/kubernetes-incubator/kompose/pull/424>",https://github.com/kubernetes-incubator/kompose/pull/424,False,False,False,False,False,True,False
dims,kops-users,<@U09R2FL93> <https://github.com/kubernetes/test-infra/pull/5986>,https://github.com/kubernetes/test-infra/pull/5986,False,False,False,False,True,False,False
jonboulle,kops-users,e.g. <https://github.com/kubernetes/kubernetes/issues/7203#issuecomment-226633672>,https://github.com/kubernetes/kubernetes/issues/7203#issuecomment-226633672,False,False,False,False,True,False,False
bentheelder,kops-users,"the flakes are too high: <http://velodrome.k8s.io/dashboard/db/bigquery-metrics?orgId=1>
filed <https://github.com/kubernetes/kubernetes/issues/57342> and poked <https://github.com/kubernetes/kubernetes/issues/56121> :confused:",https://github.com/kubernetes/kubernetes/issues/57342,False,False,False,False,True,False,False
luxas,kops-users,The biggest user-facing issue from SIG-Cluster-Lifecycle is now ready review. A heads up for you so you know that it's coming: <https://github.com/kubernetes/kubernetes/pull/48899#issuecomment-320272186>,https://github.com/kubernetes/kubernetes/pull/48899#issuecomment-320272186,False,False,False,False,True,False,False
bentheelder,kops-users,"<https://github.com/kubernetes/test-infra/pulls/spxtr>
<https://github.com/kubernetes/test-infra/pull/6010>",https://github.com/kubernetes/test-infra/pull/6010,False,False,False,False,True,False,False
liggitt,kops-users,Take a look at <https://github.com/kubernetes/community/pull/1503>,https://github.com/kubernetes/community/pull/1503,False,False,False,False,True,False,False
cdrage,kops-users,commented here: <https://github.com/kubernetes/kompose/pull/787#issuecomment-324063029> <@U0DE6E8JY>,https://github.com/kubernetes/kompose/pull/787#issuecomment-324063029,False,False,False,False,True,False,False
idvoretskyi,kops-users,"Feature submission template has been updated - PR link <https://github.com/kubernetes/features/pull/204;>

cc <@U15SSQ58T>",https://github.com/kubernetes/features/pull/204,False,False,False,False,True,False,False
rupsky,kops-users,I am looking to use Hashicorp Vault as backend for Kuberneters Secretes. Has anyone tried this ?   I found this old open ticket <https://github.com/kubernetes/kubernetes/issues/10439> . Not sure if any progress has been made there,https://github.com/kubernetes/kubernetes/issues/10439,False,False,False,False,True,False,False
rmt,kops-users,"<@U69QYR4TV>.. did you have any luck with the etcd open connections issue? <@U6S1GQY1H> and I are colleagues.
 <https://github.com/kubernetes/kubernetes/issues/54138/> is the issue we are following, but it appears to be ignored, so we might be alone. Custom deployment on your end?

ApiServers seem to be maintaining the connections to etcd, reconnecting them if etcd goes down. I guess it's a leak of goroutines.",https://github.com/kubernetes/kubernetes/issues/54138,False,False,False,False,True,False,False
alban,kops-users,"<@U0JTMA7M5> re bug <https://github.com/kubernetes-incubator/rktlet/issues/44> : I started pods in different QoS category (besteffort, burstable) and then looked at `systemd-cgls`: I think the dashes in the uuid mess with the systemd slice names: <https://gist.github.com/alban/ebaf712099615e49816d422f62818a5d>",https://github.com/kubernetes-incubator/rktlet/issues/44,False,False,False,False,False,True,False
dims,kops-users,<@U1P7T516X> <@U0E2KHQ13> <@U09R0N2BF> - seems the merge-bot is over eager and merges closed PR(s) - see <https://github.com/kubernetes/kubernetes/pull/57401>,https://github.com/kubernetes/kubernetes/pull/57401,False,False,False,False,True,False,False
chaosaffe,kops-users,<https://github.com/kubernetes/kubernetes/pull/18261>,https://github.com/kubernetes/kubernetes/pull/18261,False,False,False,False,True,False,False
procrypt,kops-users,"<@U10KRBVHN> <@U3R8AEEQG> <https://github.com/kubernetes-incubator/kompose/pull/655>
please review.",https://github.com/kubernetes-incubator/kompose/pull/655,False,False,False,False,False,True,False
tkral,kops-users,<@U7YB8L5UM> it looks like there is PR in progress for v3 build - <https://github.com/kubernetes/kompose/pull/846>,https://github.com/kubernetes/kompose/pull/846,False,False,False,False,True,False,False
surajnarwade,kops-users,"<@U2TU9NPH9>, one of my libcompose PR got merged today, so I updated vendor, can you please review and merge it, <https://github.com/kubernetes-incubator/kompose/pull/649>",https://github.com/kubernetes-incubator/kompose/pull/649,False,False,False,False,False,True,False
procrypt,kops-users,<@U0DE6E8JY> <@U10KRBVHN> <@U2TU9NPH9> Can we merge this <https://github.com/kubernetes-incubator/kompose/pull/651> I'm blocked on this :upside_down_face:,https://github.com/kubernetes-incubator/kompose/pull/651,False,False,False,False,False,True,False
bentheelder,kops-users,aha! it's always bad `vendor/` test code :confused: ideally `dep` would trim this stuff already <https://github.com/golang/dep/issues/944>,https://github.com/golang/dep/issues/944,False,False,False,False,False,True,False
surajnarwade,kops-users,"<@U59UM9P9R> you can pick this one, <https://github.com/kubernetes-incubator/kompose/issues/625>",https://github.com/kubernetes-incubator/kompose/issues/625,False,False,False,False,False,True,False
spiffxp,kops-users,"Using <https://github.com/kubernetes/community/pull/1533> as a tracer bullet, does the submit queue status need to be modified?",https://github.com/kubernetes/community/pull/1533,False,False,False,False,True,False,False
dims,kops-users,it was quickly reverted though in <https://github.com/kubernetes/kubernetes/pull/57454>,https://github.com/kubernetes/kubernetes/pull/57454,False,False,False,False,True,False,False
philips,kops-users,<@U0AGW7007>: want me to rebase? <https://github.com/kubernetes/features/pull/17>,https://github.com/kubernetes/features/pull/17,False,False,False,False,True,False,False
bentheelder,kops-users,<https://github.com/kubernetes/test-infra/pull/6067>,https://github.com/kubernetes/test-infra/pull/6067,False,False,False,False,True,False,False
spiffxp,kops-users,ran `migratestatus` once mungegithub had been redeployed <https://github.com/kubernetes/test-infra/pull/6019#issuecomment-353187630>,https://github.com/kubernetes/test-infra/pull/6019#issuecomment-353187630,False,False,False,False,True,False,False
cdrage,kops-users,Added: <https://github.com/kubernetes/kompose/pull/728> :),https://github.com/kubernetes/kompose/pull/728,False,False,False,False,True,False,False
multi_io,kops-users,"Hi. I’m trying to sign up to the CNCF CLA to be able to submit code, and I’m failing to do so. This is the PR where the corresponding check fails: <https://github.com/kubernetes-incubator/external-dns/pull/376>",https://github.com/kubernetes-incubator/external-dns/pull/376,False,False,False,False,False,True,False
perotinus,kops-users,<https://github.com/kubernetes/k8s.io/pull/98>,https://github.com/kubernetes/k8s.io/pull/98,False,False,False,False,True,False,False
surajnarwade,kops-users,<@U10KRBVHN> can you please review <https://github.com/kubernetes/kompose/pull/837>,https://github.com/kubernetes/kompose/pull/837,False,False,False,False,True,False,False
cdrage,kops-users,<@U10KRBVHN> could you approve my changes for v3 <https://github.com/kubernetes-incubator/kompose/pull/600#pullrequestreview-42169634>,https://github.com/kubernetes-incubator/kompose/pull/600#,False,False,False,False,False,True,False
luxas,kops-users,<@U0CBHE6GM> FYI <https://github.com/kubernetes/features/issues/415>,https://github.com/kubernetes/features/issues/415,False,False,False,False,True,False,False
ixdy,kops-users,a wild <@U7ADPGE91> appears! <https://github.com/kubernetes/test-infra/pull/6052#issuecomment-353227362>,https://github.com/kubernetes/test-infra/pull/6052#issuecomment-353227362,False,False,False,False,True,False,False
jhorwit2,kops-users,"<@U6N42AE8G> 
<https://github.com/kubernetes/features/issues/92>
<https://github.com/kubernetes/features/issues/460>
<https://github.com/kubernetes/features/issues/370>",https://github.com/kubernetes/features/issues/92,False,False,False,False,True,False,False
iaguis,kops-users,"I see, there was a bug where `rkt enter` wasn't setting the environment for fly (<https://github.com/rkt/rkt/pull/3712>), it was fixed in 1.28.0. In any case, the environment is probably set, it's just that enter doesn't do the right thing",https://github.com/rkt/rkt/pull/3712,False,False,False,False,False,True,False
ixdy,kops-users,add <https://github.com/kubernetes/kubernetes/issues/8830> to 2018 goals,https://github.com/kubernetes/kubernetes/issues/8830,False,False,False,False,True,False,False
mkumatag,kops-users,"There are few image deps for conformance test from kubernetes/kubernetes.github.io repo, created a issue to discuss further on this - <https://github.com/kubernetes/kubernetes/issues/48530>",https://github.com/kubernetes/kubernetes/issues/48530,False,False,False,False,True,False,False
chrislovecnm,kops-users,Maybe <https://github.com/kubernetes/test-infra/issues/1906>,https://github.com/kubernetes/test-infra/issues/1906,False,False,False,False,True,False,False
