Sender,channel,text,url_html,is merged,date message,date closed pull request,difference date massage and pull request
chaosaffe,kubernetes-pm,<https://github.com/kubernetes/kubernetes/pull/18261>,https://github.com/kubernetes/kubernetes/pull/18261,True,2016-06-27 14:53:27,2016-01-24 20:12:45,"-155 days, 5:19:18"
liggitt,kubernetes-pm,"if it is pre-1.7.x, <https://github.com/kubernetes/kubernetes/pull/44076> would be relevant",https://github.com/kubernetes/kubernetes/pull/44076,True,2018-01-03 17:50:12,2017-04-25 02:07:35,"-254 days, 8:17:23"
cmluciano,kubernetes-pm,<@U0YJS6LHL> Is it permissible to add things like <https://github.com/kubernetes/kubernetes/pull/51959> to the milestone,https://github.com/kubernetes/kubernetes/pull/51959,True,2017-09-07 16:41:18,2017-09-23 01:25:28,"15 days, 8:44:10"
mkumatag,kubernetes-pm,submitted the PR - <https://github.com/kubernetes/kubernetes/pull/44910> for multi architecture k8s test docker images. PTAL..,https://github.com/kubernetes/kubernetes/pull/44910,True,2017-04-25 08:19:24,2017-07-14 07:20:58,"79 days, 23:01:34"
mkumatag,kubernetes-pm,PR - <https://github.com/kubernetes/kubernetes/pull/53598>,https://github.com/kubernetes/kubernetes/pull/53598,False,2017-10-09 17:00:29,2017-10-20 18:38:54,"11 days, 1:38:25"
jpbetz,kubernetes-pm,We have a PR that needs to be scalability tested before merging (<https://github.com/kubernetes/kubernetes/pull/57480>) the previous attempt to bump the etcd version resulted in scalability failures on master and we'd like to avoid merging until we're able to ensure the grpc fix in the latest PR results in a clean scalability test run.  Anyone know how to set up the test run?,https://github.com/kubernetes/kubernetes/pull/57480,True,2017-12-20 22:55:18,2018-05-15 05:25:19,"145 days, 6:30:01"
liggitt,kubernetes-pm,"well, can't hurt... opened <https://github.com/kubernetes/kubernetes/pull/57805>",https://github.com/kubernetes/kubernetes/pull/57805,True,2018-01-03 21:43:41,2018-01-12 01:17:18,"8 days, 3:33:37"
yifan-gu,kubernetes-pm,what's the status of <https://github.com/kubernetes/kubernetes/pull/33965> ?,https://github.com/kubernetes/kubernetes/pull/33965,True,2016-10-11 17:28:48,2016-12-20 17:48:27,"70 days, 0:19:39"
porridge,kubernetes-pm,can someone please add the queue/fix label to <https://github.com/kubernetes/kubernetes/pull/57407>?,https://github.com/kubernetes/kubernetes/pull/57407,True,2017-12-19 16:08:48,2017-12-19 21:00:25,4:51:37
dims,kubernetes-pm,<@U1P7T516X> <@U0E2KHQ13> <@U09R0N2BF> - seems the merge-bot is over eager and merges closed PR(s) - see <https://github.com/kubernetes/kubernetes/pull/57401>,https://github.com/kubernetes/kubernetes/pull/57401,True,2017-12-20 13:55:43,2017-12-20 13:06:18,"-1 day, 23:10:35"
dbhanushali,kubernetes-pm,<@U0E40F05R> <@U5TFNBM42> <https://github.com/kubernetes/kubernetes/pull/44344>,https://github.com/kubernetes/kubernetes/pull/44344,True,2017-07-13 20:23:11,2017-07-14 10:03:07,13:39:56
liggitt,kubernetes-pm,<https://github.com/kubernetes/kubernetes/pull/56358> will address it by asking the current authorizer if you are a superuser and allowing role/clusterrole creation in that case,https://github.com/kubernetes/kubernetes/pull/56358,True,2017-11-29 14:21:17,2018-07-26 17:34:33,"239 days, 3:13:16"
mikedanese,kubernetes-pm,also i would like to get this one into 1.9 <https://github.com/kubernetes/kubernetes/pull/56444>,https://github.com/kubernetes/kubernetes/pull/56444,True,2017-12-04 18:19:10,2017-12-04 21:56:20,3:37:10
mkumatag,kubernetes-pm,Submitted one more PR for multi arch image catalog - <https://github.com/kubernetes/kubernetes/pull/45074>,https://github.com/kubernetes/kubernetes/pull/45074,False,2017-04-28 04:51:02,2017-07-27 05:55:15,"90 days, 1:04:13"
cblecker,kubernetes-pm,yeah :( <https://github.com/kubernetes/kubernetes/pull/57735>,https://github.com/kubernetes/kubernetes/pull/57735,True,2018-01-02 21:52:49,2018-01-04 07:54:43,"1 day, 10:01:54"
micahhausler,kubernetes-pm,"<@U2HR3B24A> To answer your question about health-check annotations, that was 1.9 <https://github.com/kubernetes/kubernetes/pull/56024>",https://github.com/kubernetes/kubernetes/pull/56024,True,2017-12-18 19:17:05,2017-11-22 16:48:44,"-27 days, 21:31:39"
dims,kubernetes-pm,it was quickly reverted though in <https://github.com/kubernetes/kubernetes/pull/57454>,https://github.com/kubernetes/kubernetes/pull/57454,True,2017-12-20 13:56:19,2018-05-16 21:52:02,"147 days, 7:55:43"
mauilion,kubernetes-pm,<https://github.com/kubernetes/kubernetes/pull/53324>,https://github.com/kubernetes/kubernetes/pull/53324,False,2017-12-22 19:33:03,2018-07-03 18:01:46,"192 days, 22:28:43"
ingo,kubernetes-pm,Mein Blog Post hat sich wohl grad von selbst erledigt: <https://github.com/kubernetes/kubernetes/pull/24429>,https://github.com/kubernetes/kubernetes/pull/24429,True,2016-05-02 12:36:41,2016-04-27 00:23:23,"-6 days, 11:46:42"
liggitt,kubernetes-pm,"FYI, <https://github.com/kubernetes/kubernetes/pull/56358> Will do something similar for role creation, checking for super user permissions with the active authorizer",https://github.com/kubernetes/kubernetes/pull/56358,True,2017-11-27 23:07:15,2018-07-26 17:34:33,"240 days, 18:27:18"
