Sender,channel,text,url_html,is issue,is comment's issue,is pull request,is comment's pull request,issue or pull another repository,is other issue or pull of another organization,url not found
liggitt,minikube,<@U14MCKSMV> additional tokens do not get the same group as the default token made by kubeadm init. See <https://github.com/kubernetes/kubeadm/issues/483> and <https://github.com/kubernetes/kubernetes/pull/53512>,https://github.com/kubernetes/kubernetes/pull/53512,False,False,False,False,True,False,False
spiffxp,minikube,also FYI <@U1ZDD4CUR> <https://github.com/kubernetes/sig-release/issues/44>,https://github.com/kubernetes/sig-release/issues/44,False,False,False,False,True,False,False
qasim.sarfraz,minikube,"I am assuming I was hitting this, <https://github.com/kubernetes/minikube/issues/2199>, before I restarted the control plane components!",https://github.com/kubernetes/minikube/issues/2199,True,False,False,False,False,False,False
rathko,minikube,Hey all! I've been trying to make work kompose on my OSX but it was complaining about the hardcoded unix socket. Just added the PR for it: <https://github.com/kubernetes/kompose/pull/746> Hope it will be useful for someone!,https://github.com/kubernetes/kompose/pull/746,False,False,False,False,True,False,False
pmorie,minikube,<https://github.com/kubernetes/federation/pull/159> ready for review,https://github.com/kubernetes/federation/pull/159,False,False,False,False,True,False,False
dims,minikube,"<@U3Z7BV4FQ> <@U0BM389D4> <@U09R2P666> - here are the PR(s) to get the log collection back on its feet 
<https://github.com/kubernetes/kubernetes/pull/54623>
<https://github.com/kubernetes/test-infra/pull/5164>",https://github.com/kubernetes/test-infra/pull/5164,False,False,False,False,True,False,False
cduchesne,minikube,<https://github.com/kubernetes-csi/external-provisioner/pull/18>,https://github.com/kubernetes-csi/external-provisioner/pull/18,False,False,False,False,False,True,False
jorge,minikube,<https://github.com/cncf/devstats/issues/34>,https://github.com/cncf/devstats/issues/34,False,False,False,False,False,True,False
spiffxp,minikube,<https://github.com/kubernetes/test-infra/pull/5989> I tried to pull the hardcode out <@U0Y7A2MME> see if this makes sense,https://github.com/kubernetes/test-infra/pull/5989,False,False,False,False,True,False,False
shiywang,minikube,"<@U0DSKQSRM> <@U0DUJJU3Y> need an approval on this : <https://github.com/kubernetes/kubernetes/pull/42256>  I think this is ready to go, ptal, thanks",https://github.com/kubernetes/kubernetes/pull/42256,False,False,False,False,True,False,False
surajnarwade,minikube,<https://github.com/kubernetes-incubator/kompose/pull/664>,https://github.com/kubernetes-incubator/kompose/pull/664,False,False,False,False,False,True,False
jurgen,minikube,"yeah, he is on weave; <https://github.com/kubernetes/kops/issues/3575#issuecomment-352696174> direct link",https://github.com/kubernetes/kops/issues/3575#issuecomment-352696174,False,False,False,False,True,False,False
rowleyaj,minikube,"Two examples, of places I feel I could help if I knew what the process was:
<https://github.com/kubernetes/website/issues/6530>
and <https://github.com/kubernetes/website/issues/6710>",https://github.com/kubernetes/website/issues/6710,False,False,False,False,True,False,False
andrew.jefferson,minikube,Can anyone take a look at this PR? <https://github.com/kubernetes/kubernetes/pull/56575>,https://github.com/kubernetes/kubernetes/pull/56575,False,False,False,False,True,False,False
