url issues,url_api comment,url_html comment,user create comment,body,created_at,updated_at
https://api.github.com/repos/hyperledger/caliper/issues/403,https://api.github.com/repos/hyperledger/caliper/issues/comments/479286168,https://github.com/hyperledger/caliper/issues/403#issuecomment-479286168,houqinghui,"@robiharid  1. You should intall npm, node, fabric-ca,etc on each machine, then you can start the client. While we start to virtualize the module, so that users can install npm package or docker image to test their blockchain network. 
2. Yes, you should pull caliepr on each machine, because the code of the client is located in the caliper repo. 
3. Yes, ",2019-04-03 01:25:13,2019-04-03 01:25:29
https://api.github.com/repos/hyperledger/caliper/issues/403,https://api.github.com/repos/hyperledger/caliper/issues/comments/479493062,https://github.com/hyperledger/caliper/issues/403#issuecomment-479493062,robiharid,"> @robiharid 1. You should intall npm, node, fabric-ca,etc on each machine, then you can start the client. While we start to virtualize the module, so that users can install npm package or docker image to test their blockchain network.
> 2. Yes, you should pull caliepr on each machine, because the code of the client is located in the caliper repo.
> 3. Yes,

Thanks so much!

I have installed all dependencies on new VM.

**Main VM:**
`npm run startclient -- ip:2181`

> caliper@0.1.0 startclient /home/robiharid/caliper
> node ./src/comm/client/zoo-client.js ""ip.com:2181""

**Slave VM:**
`npm run startclient -- zookeeper-server`

> caliper@0.1.0 startclient /home/robiharid/caliper
> node ./src/comm/client/zoo-client.js ""zookeeper-server""

How do I specify what IP zookeeper should connect to on slave VM?

Both VMs just hang and do nothing from there.",2019-04-03 13:38:35,2019-04-03 13:39:03
https://api.github.com/repos/hyperledger/caliper/issues/402,https://api.github.com/repos/hyperledger/caliper/issues/comments/479439022,https://github.com/hyperledger/caliper/issues/402#issuecomment-479439022,aklenik,"@ig0rsky Faced similar issues but with the endorsement policies. For the configtx and crypto-config files I use v1.1 files, containing adminPrincipal entries. The v1.4 tools warn about it, but the artifacts are generated and channel creation works for me. It would be nice to know whats the equivalent configtx file with explicit policies.

I'll look into this issue, but probably only around Sunday evening. And note, that the CCP adapter uses the v1.4.0 SDK. Newer versions haven't been tested. Especially Raft consensus :)",2019-04-03 10:51:20,2019-04-03 10:51:20
https://api.github.com/repos/hyperledger/caliper/issues/402,https://api.github.com/repos/hyperledger/caliper/issues/comments/479811157,https://github.com/hyperledger/caliper/issues/402#issuecomment-479811157,ig0rsky,"@aklenik I think what I'm using in my configtx.yaml file are the default policies. I copy pasted these policies from the latest version of fabric-samples, and basically did a line-by-line update of the old configtx.yaml file with the new one. The issue is, even when I re-generate the files using the pre-existing configtx.yaml files in the v.1.4 repository I'll still end up with policy errors. I think the only way to make it work is to use an old binary for example from v1.2 that doesn't have any notion of the newly added policy stuff. I got the raft orderers to work with 1.4.1-rc1 images and binaries. The orderers are alive and well up until I hit the policy error again. 
I don't know the details of Fabric nor Caliper too much, but I think the problem is that client  definitions in the fabric-ccp-go.yaml file are joining one of the organizations, and the issue is that when you generate a channel you need to have write access on the orderer, which I presume the client with its default configurations doesn't have. I tried to use the admin credentials of both organizations but that didn't work either.",2019-04-04 08:55:22,2019-04-04 08:57:37
https://api.github.com/repos/hyperledger/caliper/issues/401,https://api.github.com/repos/hyperledger/caliper/issues/comments/478872032,https://github.com/hyperledger/caliper/pull/401#issuecomment-478872032,Ram-srini,@panyu4 @feihujiang @aklenik I have added docker compose files with kafka consensus. Please review the changes,2019-04-02 07:07:27,2019-04-02 07:07:27
https://api.github.com/repos/hyperledger/caliper/issues/401,https://api.github.com/repos/hyperledger/caliper/issues/comments/479013050,https://github.com/hyperledger/caliper/pull/401#issuecomment-479013050,aklenik,"@Ram-srini Great! There's an ongoing restructuring of the project. Once it's finished, you'll probably have to rebase this PR, but it should be easy.",2019-04-02 14:08:29,2019-04-02 14:08:29
https://api.github.com/repos/hyperledger/caliper/issues/401,https://api.github.com/repos/hyperledger/caliper/issues/comments/479330068,https://github.com/hyperledger/caliper/pull/401#issuecomment-479330068,Ram-srini,@aklenik When is your restructuring changes are going to merged to master?,2019-04-03 04:06:51,2019-04-03 04:06:51
https://api.github.com/repos/hyperledger/caliper/issues/401,https://api.github.com/repos/hyperledger/caliper/issues/comments/479431681,https://github.com/hyperledger/caliper/pull/401#issuecomment-479431681,aklenik,@Ram-srini Maybe @nklincoln can answer them :),2019-04-03 10:26:59,2019-04-03 10:26:59
https://api.github.com/repos/hyperledger/caliper/issues/396,https://api.github.com/repos/hyperledger/caliper/issues/comments/478522098,https://github.com/hyperledger/caliper/issues/396#issuecomment-478522098,aklenik,"@clumsky You're right, we'll add them once an ongoing restructuring of the project is done. But you can use any v1.1 example file, just make sure that you change the start/end scripts to point to the correct docker-compose file. I think no other changes are required.",2019-04-01 10:19:38,2019-04-01 10:19:38
https://api.github.com/repos/hyperledger/caliper/issues/396,https://api.github.com/repos/hyperledger/caliper/issues/comments/478892307,https://github.com/hyperledger/caliper/issues/396#issuecomment-478892307,clumsky,"I want to merge src/adapters/fabric into src/adapters/fabirc-ccp in fabric-v1.3 and v1.4. But now fabric-ccp
don't have network file for fabric-v1.3/v1.4. ",2019-04-02 08:14:44,2019-04-02 08:14:44
